GrLivArea,SalePrice
22,4211557534
23,4211491708
24,4209414882
25,4209324214
26,4207006126
27,4200898945
28,4200012888
29,4200001832
30,4199719934
31,4199476811
32,4199097681
33,4198823688
34,4197001233
35,4195454579
36,4193114165
37,4193084913
38,4192968109
39,4192873593
40,4190818578
41,4190771229
42,4190321487
43,4190016828
44,4189599672
45,4188866419
46,4188717405
47,4188379730
48,4187989751
49,4186383416
50,4186343383
51,4186257422
52,4186159269
53,4183831545
54,4183713495
55,4181579145
56,4181571404
57,4181156732
58,4181067737
59,4178170835
60,4178093731
61,4176919644
62,4176914297
63,4174679615
64,4174724547
65,4174639568
66,4174536861
67,4173379964
68,4173161793
69,4171901934
70,4171724825
71,4171054103
72,4171002654
73,4170900747
74,4170232305
75,4170171947
76,4170084366
77,4169877994
78,4169858183
79,4169811191
80,4169698699
81,4167791783
82,4167063114
83,4166892422
84,4166792115
85,4166744793
86,4166641452
87,4166375373
88,4166172331
89,4165655918
90,4165610081
91,4165592174
92,4163618623
93,4163594552
94,4163620377
95,4163427816
96,4163372703
97,4161455455
98,4161369897
99,4161383595
0,4260995585
1,4260879797
2,4260746584
3,4260712050
4,4260452798
5,4260353406
6,4260272376
7,4260082928
8,4259764018
9,4259701194
10,4259509911
11,4258849234
12,4258863620
13,4258798061
14,4258743348
15,4258644986
16,4258610159
17,4258440472
18,4258248550
19,4257772969
20,4257731874
21,4257390846
22,4257227402
23,4257011038
24,4256709425
25,4255942732
26,4255868492
27,4255761502
28,4255555265
29,4255437449
30,4255353758
31,4255264506
32,4255147211
33,4254140206
34,4253619676
35,4253447280
36,4252788260
37,4252643772
38,4251416446
39,4251317064
40,4251100439
41,4250674493
42,4249837783
43,4249802117
44,4249716387
45,4249605606
46,4249512651
47,4249275075
48,4249117150
49,4248950267
50,4248913081
51,4248002331
52,4247865782
53,4247346627
54,4247333254
55,4247328744
56,4247263043
57,4247161499
58,4247052472
59,4246786287
60,4246361790
61,4246183363
62,4246114523
63,4245866222
64,4245807389
65,4244498058
66,4244483847
67,4244327070
68,4244322865
69,4244042490
70,4243963257
71,4243645530
72,4243439404
73,4243226362
74,4243029023
75,4242789966
76,4242618833
77,4241938123
78,4241893185
79,4241774110
80,4241538868
81,4241394461
82,4240992890
83,4240556832
84,4240454714
85,4240386069
86,4240318103
87,4240273513
88,4239416228
89,4239361391
90,4239182830
91,4239012713
92,4238828204
93,4238771288
94,4238563714
95,4238353789
96,4237947438
97,4237834731
98,4237621544
99,4237061574
0,4260794049
1,4260716323
2,4254202458
3,4252748238
4,4249625735
5,4249117150
6,4247377109
7,4247414363
8,4246183363
9,4244761455
10,4244549095
11,4244229964
12,4243506684
13,4239042916
14,4238102271
15,4235211937
16,4233828212
17,4230915010
18,4230388021
19,4230434428
20,4230381870
21,4230254184
22,4229419728
23,4227501173
24,4227364012
25,4226087595
26,4226012364
27,4225815232
28,4225235665
29,4225136570
30,4225094831
31,4224937366
32,4224750926
33,4224329277
34,4224188487
35,4224095119
36,4223734241
37,4223665661
38,4223443219
39,4223254027
40,4223061077
41,4222928079
42,4222887870
43,4222871985
44,4222795586
45,4219852740
46,4219589569
47,4216013660
48,4214257445
49,4213849892
50,4213348633
51,4213316929
52,4212107609
53,4212005814
54,4211752991
55,4211647338
56,4211663289
57,4211491708
58,4211414401
59,4209322654
60,4207083645
61,4207131323
62,4207007489
63,4206398450
64,4204833685
65,4204477316
66,4202315616
67,4199837457
68,4199804268
69,4199777189
70,4199713465
71,4199476811
72,4199384190
73,4199097681
74,4198723238
75,4197290952
76,4196269717
77,4195948356
78,4195465727
79,4195442007
80,4195074973
81,4194977840
82,4194099343
83,4192968109
84,4192887757
85,4192818459
86,4192750464
87,4192215337
88,4190818578
89,4190803739
90,4190688784
91,4190660384
92,4190169398
93,4189852225
94,4189262303
95,4188890199
96,4188832113
97,4188763249
98,4188662882
99,4188544300
0,4260995585
1,4259107021
2,4258971837
3,4258919299
4,4258897580
5,4258798061
6,4257516199
7,4257414674
8,4255824964
9,4255555265
10,4252862949
11,4252364852
12,4252283013
13,4251883484
14,4251722604
15,4250923906
16,4250023278
17,4249766054
18,4249512651
19,4247251710
20,4247158286
21,4246866092
22,4246425407
23,4245795712
24,4244990269
25,4244098322
26,4243246604
27,4241655487
28,4241627963
